country,Rank,Happiness Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Hungary,102,4.775,4.683358192,10.02491188,0.906113982,66.05580139,0.56923151,-0.147043735,0.930297315,0.65190798,0.315398008,0.209778264,0.712581217,0.64710778,2.094283819,0.447175652,0.305,0.296818182,0.310641199
India,103,4.772,4.720146656,8.482096672,0.510574579,58.20915604,0.609320104,0.055292785,0.829614759,0.62873435,0.294841021,0.539206505,-0.444927841,-0.307233006,1.964058876,0.416101247,,0.352,0.394036531
Mauritania,104,4.758,4.673203945,8.149764061,0.763332725,52.5381012,0.487372756,-0.002736215,0.707005799,0.782067597,0.163681492,0.383974999,-1.022454023,-0.811633349,1.355009198,0.289952934,,0.36825,0.359774947
Palestinian Territories,105,4.7,4.646608353,8.485044479,0.782169104,62.48500061,0.541582882,-0.158223853,0.730194092,0.616355181,0.378503829,0.466042757,,,2.207691669,0.475118935,,,0.397496074
Iran,106,4.643,4.608927727,9.718718529,0.599542618,64.69434357,0.764418423,,0.677707136,0.608597934,0.524968743,0.718554199,-1.462069392,-0.914399445,2.500261784,0.542482317,,0.4132,0.427607894
Azerbaijan,107,4.604,4.910771847,9.673333168,0.761873245,62.47997284,0.598859072,-0.164287835,0.763154805,0.553869426,0.266093403,0.707989276,-1.007616758,-0.799909055,1.891108274,0.385093898,,0.228833333,0.29988724
Congo (Kinshasa),108,4.578,4.63922739,6.481235981,0.769545972,48.95683289,0.557286203,-0.005517539,0.807406604,0.634003043,0.229651377,0.437570214,-1.78348732,-1.528378963,1.280192971,0.275949597,0.421,0.4215,0.41993615
Macedonia,109,4.574,4.639647484,9.354403496,0.798305035,65.12363434,0.613055706,-0.086592704,0.919845164,0.64188683,0.421751916,0.369646579,-0.260572821,0.005124823,2.1744771,0.468672901,0.401,0.390166667,0.375651211
Ethiopia,110,4.561,4.561168671,7.115237236,0.658794284,54.35425186,0.776308239,-0.032520976,,0.668341458,0.137166128,,-1.436589599,-0.688325226,1.858586311,0.4074803,,0.315,0.521013916
Uganda,111,4.443,4.309237957,7.383019924,0.884721696,50.0959053,0.649463236,0.094537929,0.837545872,0.753983975,0.265322387,0.396223307,-0.681256294,-0.536405623,1.750787735,0.406287074,0.41,0.43325,0.694141626
Myanmar,112,4.439,4.438939571,8.330550194,0.612249672,56.76591492,0.691094279,0.625391603,0.694738686,0.764304161,0.205414414,,-1.281897187,-1.433520555,1.732100248,0.39020586,,0.381,0.461426914
Cameroon,113,4.42,4.244634151,8.013411522,0.74283731,48.18658447,0.766064227,-0.033722017,0.898028791,0.617998898,0.284447879,0.533314586,-0.805049241,-1.032383323,2.237308741,0.527091086,,0.438,0.491360247
Kenya,114,4.403,4.547335148,7.864229202,0.83141011,56.35370636,0.627654195,0.082487695,0.911273062,0.706963956,0.19417724,0.40184477,-0.805622459,-0.68510896,1.782849431,0.392064661,,0.485,0.560217559
Sudan,115,4.401,4.550499439,8.318027496,0.812500715,53.30289841,0.411947906,-0.064391643,0.733679295,0.576177895,0.242373869,,-2.017451763,-1.405126214,1.59638381,0.350815088,,0.354,0.7994771
Tajikistan,116,4.38,4.496571541,7.751204014,0.728590906,62.10417557,0.749034524,-0.071462199,0.717097759,0.714460313,0.19819133,0.921518028,-1.33163166,-1.102040648,1.14977777,0.255700976,0.305,0.31875,0.360984385
Haiti,117,4.341,4.413475037,7.368234158,0.74866271,52.02882004,0.482485861,0.2925466,0.717166364,0.593434155,0.283806413,0.367326528,-0.775418222,-1.287150621,1.783457279,0.404093653,0.409,0.409,0.407224
Armenia,118,4.316,4.319711685,8.924141884,0.676446438,64.25839233,0.501863778,-0.202869654,0.892544389,0.517862976,0.463855445,0.285362303,-0.207848221,-0.174658716,2.257862568,0.52268827,0.305,0.325066667,0.42068997
Congo (Brazzaville),119,4.297,3.919341803,8.570007324,0.622330368,52.6687088,0.772510767,-0.147367403,0.799653709,0.564219952,0.32258296,0.541932643,-0.822411597,-1.221892476,2.118503332,0.540525258,,0.481,0.600013852
Egypt,120,4.273,4.204156876,9.192422867,0.736645103,60.76647949,0.451543361,-0.146938071,0.880383074,0.527221382,0.398423016,0.601901174,-1.100696564,-0.588527501,2.045084953,0.486443549,0.298,0.3122,0.398824096
Burkina Faso,121,4.259,3.95500803,7.327422142,0.743765771,50.25502396,0.621848702,-0.057048257,0.726286888,0.544851422,0.29972294,0.617090106,-0.439050049,-0.414633215,1.758125663,0.4445315,,0.394666667,0.550402403
Mali,122,4.247,4.313016891,7.498283863,0.823435068,47.2441597,0.704219282,-0.082917713,0.786719501,0.68075037,0.109447502,0.486437917,-1.264929414,-0.726040661,2.043205023,0.473729879,,0.372666667,0.460374266
Georgia,123,4.187,4.254445553,8.972251892,0.532586455,63.7734642,0.65872401,-0.254449189,0.320887595,0.559153915,0.250087857,0.610841632,-0.3294366,0.42155683,1.958423615,0.460324049,0.413,0.4034375,0.462737411
Nepal,124,4.156,4.233244896,7.651288509,0.733602345,59.63160324,0.637778401,0.081051968,0.88349402,0.736082912,0.231070802,0.439799935,-1.011797905,-0.83282125,1.778289437,0.420077145,,0.383,0.454886735
